,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state_and_year,total_man_by_state_and_year,total_woman_by_state_and_year,man_percentage_by_state_and_level,woman_percentage_by_state_and_level,rate_level
59,2005,Ciudad de Mxico,M s de 3 hasta 5 s.m.,2075100,1342309,732791,7786083,5242139,2543944,0,0,0
60,2005,Ciudad de Mxico,M s de 5 hasta 10 s.m.,549324,364989,184335,7786083,5242139,2543944,0,0,0
61,2005,Ciudad de Mxico,No especificado,316327,206815,109512,7786083,5242139,2543944,0,0,0
62,2005,Ciudad de Mxico,No recibe ingresos,987420,912433,74987,7786083,5242139,2543944,0,0,0
63,2005,Coahuila,1 salario m¡nimo,73789,72336,1453,2562377,1876279,686098,0,0,0
64,2005,Coahuila,Menos de 1 s.m.,209940,198458,11482,2562377,1876279,686098,0,0,0
65,2005,Coahuila,M s de 1 hasta 2 s.m.,11951,9186,2765,2562377,1876279,686098,0,0,0
66,2005,Coahuila,M s de 10 s.m.,622457,320003,302454,2562377,1876279,686098,0,0,0
67,2005,Coahuila,M s de 2 hasta 3 s.m.,335803,312270,23533,2562377,1876279,686098,0,0,0
68,2005,Coahuila,M s de 3 hasta 5 s.m.,980428,694003,286425,2562377,1876279,686098,0,0,0
69,2005,Coahuila,M s de 5 hasta 10 s.m.,123245,89479,33766,2562377,1876279,686098,0,0,0
70,2005,Coahuila,No especificado,22394,13363,9031,2562377,1876279,686098,0,0,0
71,2005,Coahuila,No recibe ingresos,182370,167181,15189,2562377,1876279,686098,0,0,0
72,2005,Colima,1 salario m¡nimo,10688,10536,152,605384,422976,182408,0,0,0
73,2005,Colima,Menos de 1 s.m.,135707,117300,18407,605384,422976,182408,0,0,0
74,2005,Colima,M s de 1 hasta 2 s.m.,5016,3825,1191,605384,422976,182408,0,0,0
75,2005,Colima,M s de 10 s.m.,164486,64983,99503,605384,422976,182408,0,0,0
76,2005,Colima,M s de 2 hasta 3 s.m.,84446,82052,2394,605384,422976,182408,0,0,0
77,2005,Colima,M s de 3 hasta 5 s.m.,106815,64599,42216,605384,422976,182408,0,0,0
78,2005,Colima,M s de 5 hasta 10 s.m.,33846,24943,8903,605384,422976,182408,0,0,0
79,2005,Colima,No especificado,6980,4310,2670,605384,422976,182408,0,0,0
80,2005,Colima,No recibe ingresos,57400,50428,6972,605384,422976,182408,0,0,0
81,2005,Durango,1 salario m¡nimo,26931,23743,3188,1545941,1180199,365742,0,0,0
82,2005,Durango,Menos de 1 s.m.,448535,430932,17603,1545941,1180199,365742,0,0,0
83,2005,Durango,M s de 1 hasta 2 s.m.,7136,6041,1095,1545941,1180199,365742,0,0,0
84,2005,Durango,M s de 10 s.m.,336669,141758,194911,1545941,1180199,365742,0,0,0
85,2005,Durango,M s de 2 hasta 3 s.m.,170140,164469,5671,1545941,1180199,365742,0,0,0
86,2005,Durango,M s de 3 hasta 5 s.m.,393872,270484,123388,1545941,1180199,365742,0,0,0
87,2005,Durango,M s de 5 hasta 10 s.m.,48660,38710,9950,1545941,1180199,365742,0,0,0
88,2005,Durango,No especificado,9218,5443,3775,1545941,1180199,365742,0,0,0
89,2005,Durango,No recibe ingresos,104780,98619,6161,1545941,1180199,365742,0,0,0
90,2005,Estado de Mxico,1 salario m¡nimo,26137,24497,1640,14194353,10157282,4037071,0,0,0
91,2005,Estado de Mxico,Menos de 1 s.m.,1226255,1069849,156406,14194353,10157282,4037071,0,0,0
92,2005,Estado de Mxico,M s de 1 hasta 2 s.m.,117735,112767,4968,14194353,10157282,4037071,0,0,0
93,2005,Estado de Mxico,M s de 10 s.m.,4226176,2168027,2058149,14194353,10157282,4037071,0,0,0
94,2005,Estado de Mxico,M s de 2 hasta 3 s.m.,2141733,2078078,63655,14194353,10157282,4037071,0,0,0
95,2005,Estado de Mxico,M s de 3 hasta 5 s.m.,4322859,2817690,1505169,14194353,10157282,4037071,0,0,0
96,2005,Estado de Mxico,M s de 5 hasta 10 s.m.,579218,460194,119024,14194353,10157282,4037071,0,0,0
97,2005,Estado de Mxico,No especificado,201765,132354,69411,14194353,10157282,4037071,0,0,0
98,2005,Estado de Mxico,No recibe ingresos,1352475,1293826,58649,14194353,10157282,4037071,0,0,0
99,2005,Guanajuato,1 salario m¡nimo,15917,15634,283,5502750,3747106,1755644,0,0,0
100,2005,Guanajuato,Menos de 1 s.m.,1049491,903120,146371,5502750,3747106,1755644,0,0,0
101,2005,Guanajuato,M s de 1 hasta 2 s.m.,35605,30873,4732,5502750,3747106,1755644,0,0,0
102,2005,Guanajuato,M s de 10 s.m.,1476345,609732,866613,5502750,3747106,1755644,0,0,0
103,2005,Guanajuato,M s de 2 hasta 3 s.m.,604942,590471,14471,5502750,3747106,1755644,0,0,0
104,2005,Guanajuato,M s de 3 hasta 5 s.m.,1809367,1186471,622896,5502750,3747106,1755644,0,0,0
105,2005,Guanajuato,M s de 5 hasta 10 s.m.,272621,202879,69742,5502750,3747106,1755644,0,0,0
106,2005,Guanajuato,No especificado,32572,22644,9928,5502750,3747106,1755644,0,0,0
107,2005,Guanajuato,No recibe ingresos,205890,185282,20608,5502750,3747106,1755644,0,0,0
108,2005,Guerrero,1 salario m¡nimo,4557,4017,540,3197806,2281191,916615,0,0,0
109,2005,Guerrero,Menos de 1 s.m.,1363224,1199056,164168,3197806,2281191,916615,0,0,0
110,2005,Guerrero,M s de 1 hasta 2 s.m.,11583,11379,204,3197806,2281191,916615,0,0,0
111,2005,Guerrero,M s de 10 s.m.,679477,244177,435300,3197806,2281191,916615,0,0,0
112,2005,Guerrero,M s de 2 hasta 3 s.m.,367203,361419,5784,3197806,2281191,916615,0,0,0
113,2005,Guerrero,M s de 3 hasta 5 s.m.,475501,197985,277516,3197806,2281191,916615,0,0,0
114,2005,Guerrero,M s de 5 hasta 10 s.m.,90057,69337,20720,3197806,2281191,916615,0,0,0
115,2005,Guerrero,No especificado,22613,14169,8444,3197806,2281191,916615,0,0,0
116,2005,Guerrero,No recibe ingresos,183591,179652,3939,3197806,2281191,916615,0,0,0
117,2005,Hidalgo,1 salario m¡nimo,14494,14494,0,2869155,1997037,872118,0,0,0
118,2005,Hidalgo,Menos de 1 s.m.,997895,804160,193735,2869155,1997037,872118,0,0,0
119,2005,Hidalgo,M s de 1 hasta 2 s.m.,16623,14208,2415,2869155,1997037,872118,0,0,0
120,2005,Hidalgo,M s de 10 s.m.,674046,297455,376591,2869155,1997037,872118,0,0,0
121,2005,Hidalgo,M s de 2 hasta 3 s.m.,321051,315395,5656,2869155,1997037,872118,0,0,0
122,2005,Hidalgo,M s de 3 hasta 5 s.m.,628898,366647,262251,2869155,1997037,872118,0,0,0
123,2005,Hidalgo,M s de 5 hasta 10 s.m.,78030,63171,14859,2869155,1997037,872118,0,0,0
124,2005,Hidalgo,No especificado,23294,11340,11954,2869155,1997037,872118,0,0,0
125,2005,Hidalgo,No recibe ingresos,114824,110167,4657,2869155,1997037,872118,0,0,0
126,2005,Jalisco,1 salario m¡nimo,6265,5999,266,7387703,5000539,2387164,0,0,0
127,2005,Jalisco,Menos de 1 s.m.,1220570,1016892,203678,7387703,5000539,2387164,0,0,0
128,2005,Jalisco,M s de 1 hasta 2 s.m.,34066,26089,7977,7387703,5000539,2387164,0,0,0
129,2005,Jalisco,M s de 10 s.m.,2126076,1014341,1111735,7387703,5000539,2387164,0,0,0
130,2005,Jalisco,M s de 2 hasta 3 s.m.,918876,900769,18107,7387703,5000539,2387164,0,0,0
131,2005,Jalisco,M s de 3 hasta 5 s.m.,2293818,1393744,900074,7387703,5000539,2387164,0,0,0
132,2005,Jalisco,M s de 5 hasta 10 s.m.,335880,257001,78879,7387703,5000539,2387164,0,0,0
133,2005,Jalisco,No especificado,72049,51186,20863,7387703,5000539,2387164,0,0,0
134,2005,Jalisco,No recibe ingresos,380103,334518,45585,7387703,5000539,2387164,0,0,0
135,2005,Michoac n,1 salario m¡nimo,2696,2696,0,4438366,3067738,1370628,0,0,0
136,2005,Michoac n,Menos de 1 s.m.,1340985,1134775,206210,4438366,3067738,1370628,0,0,0
137,2005,Michoac n,M s de 1 hasta 2 s.m.,36080,29295,6785,4438366,3067738,1370628,0,0,0
138,2005,Michoac n,M s de 10 s.m.,1145443,468741,676702,4438366,3067738,1370628,0,0,0
139,2005,Michoac n,M s de 2 hasta 3 s.m.,474941,470113,4828,4438366,3067738,1370628,0,0,0
140,2005,Michoac n,M s de 3 hasta 5 s.m.,966032,563544,402488,4438366,3067738,1370628,0,0,0
141,2005,Michoac n,M s de 5 hasta 10 s.m.,193430,149618,43812,4438366,3067738,1370628,0,0,0
142,2005,Michoac n,No especificado,27169,14275,12894,4438366,3067738,1370628,0,0,0
143,2005,Michoac n,No recibe ingresos,251590,234681,16909,4438366,3067738,1370628,0,0,0
144,2005,Morelos,1 salario m¡nimo,4909,3755,1154,1644037,1165417,478620,0,0,0
145,2005,Morelos,Menos de 1 s.m.,352219,319901,32318,1644037,1165417,478620,0,0,0
146,2005,Morelos,M s de 1 hasta 2 s.m.,11876,9673,2203,1644037,1165417,478620,0,0,0
147,2005,Morelos,M s de 10 s.m.,489074,207077,281997,1644037,1165417,478620,0,0,0
148,2005,Morelos,M s de 2 hasta 3 s.m.,276748,272931,3817,1644037,1165417,478620,0,0,0
149,2005,Morelos,M s de 3 hasta 5 s.m.,318541,185905,132636,1644037,1165417,478620,0,0,0
150,2005,Morelos,M s de 5 hasta 10 s.m.,54730,40841,13889,1644037,1165417,478620,0,0,0
151,2005,Morelos,No especificado,16154,10956,5198,1644037,1165417,478620,0,0,0
152,2005,Morelos,No recibe ingresos,119786,114378,5408,1644037,1165417,478620,0,0,0
153,2005,Nacional,1 salario m¡nimo,729878,643629,86249,109386613,77433489,31953124,0,0,0
154,2005,Nacional,Menos de 1 s.m.,24876045,21835965,3040080,109386613,77433489,31953124,0,0,0
155,2005,Nacional,M s de 1 hasta 2 s.m.,758664,635519,123145,109386613,77433489,31953124,0,0,0
156,2005,Nacional,M s de 10 s.m.,28356171,13195820,15160351,109386613,77433489,31953124,0,0,0
157,2005,Nacional,M s de 2 hasta 3 s.m.,13316161,12913577,402584,109386613,77433489,31953124,0,0,0
158,2005,Nacional,M s de 3 hasta 5 s.m.,28237478,17323270,10914208,109386613,77433489,31953124,0,0,0
159,2005,Nacional,M s de 5 hasta 10 s.m.,4622850,3384279,1238571,109386613,77433489,31953124,0,0,0
160,2005,Nacional,No especificado,1348425,853412,495013,109386613,77433489,31953124,0,0,0
161,2005,Nacional,No recibe ingresos,7140941,6648018,492923,109386613,77433489,31953124,0,0,0
162,2005,Nayarit,1 salario m¡nimo,2598,2442,156,1036564,748356,288208,0,0,0
163,2005,Nayarit,Menos de 1 s.m.,368549,344034,24515,1036564,748356,288208,0,0,0
164,2005,Nayarit,M s de 1 hasta 2 s.m.,6738,4605,2133,1036564,748356,288208,0,0,0
165,2005,Nayarit,M s de 10 s.m.,281517,110943,170574,1036564,748356,288208,0,0,0
166,2005,Nayarit,M s de 2 hasta 3 s.m.,130656,126797,3859,1036564,748356,288208,0,0,0
167,2005,Nayarit,M s de 3 hasta 5 s.m.,144481,76521,67960,1036564,748356,288208,0,0,0
168,2005,Nayarit,M s de 5 hasta 10 s.m.,43445,30998,12447,1036564,748356,288208,0,0,0
169,2005,Nayarit,No especificado,7931,4159,3772,1036564,748356,288208,0,0,0
170,2005,Nayarit,No recibe ingresos,50649,47857,2792,1036564,748356,288208,0,0,0
171,2005,Nuevo Le¢n,1 salario m¡nimo,16713,13727,2986,4519131,3246525,1272606,0,0,0
172,2005,Nuevo Le¢n,Menos de 1 s.m.,192027,166325,25702,4519131,3246525,1272606,0,0,0
173,2005,Nuevo Le¢n,M s de 1 hasta 2 s.m.,41090,30490,10600,4519131,3246525,1272606,0,0,0
174,2005,Nuevo Le¢n,M s de 10 s.m.,1114766,549822,564944,4519131,3246525,1272606,0,0,0
175,2005,Nuevo Le¢n,M s de 2 hasta 3 s.m.,616716,584297,32419,4519131,3246525,1272606,0,0,0
176,2005,Nuevo Le¢n,M s de 3 hasta 5 s.m.,1754098,1264616,489482,4519131,3246525,1272606,0,0,0
177,2005,Nuevo Le¢n,M s de 5 hasta 10 s.m.,307985,221214,86771,4519131,3246525,1272606,0,0,0
178,2005,Nuevo Le¢n,No especificado,86808,53887,32921,4519131,3246525,1272606,0,0,0
179,2005,Nuevo Le¢n,No recibe ingresos,388928,362147,26781,4519131,3246525,1272606,0,0,0
180,2005,Oaxaca,1 salario m¡nimo,17816,15049,2767,4309845,2852419,1457426,0,0,0
181,2005,Oaxaca,Menos de 1 s.m.,2028288,1706173,322115,4309845,2852419,1457426,0,0,0
182,2005,Oaxaca,M s de 1 hasta 2 s.m.,8995,7524,1471,4309845,2852419,1457426,0,0,0
183,2005,Oaxaca,M s de 10 s.m.,813109,266171,546938,4309845,2852419,1457426,0,0,0
184,2005,Oaxaca,M s de 2 hasta 3 s.m.,348404,343924,4480,4309845,2852419,1457426,0,0,0
185,2005,Oaxaca,M s de 3 hasta 5 s.m.,811634,280473,531161,4309845,2852419,1457426,0,0,0
186,2005,Oaxaca,M s de 5 hasta 10 s.m.,89424,57484,31940,4309845,2852419,1457426,0,0,0
187,2005,Oaxaca,No especificado,21154,11728,9426,4309845,2852419,1457426,0,0,0
188,2005,Oaxaca,No recibe ingresos,171021,163893,7128,4309845,2852419,1457426,0,0,0
189,2005,Puebla,1 salario m¡nimo,45632,43843,1789,6524911,4341491,2183420,0,0,0
190,2005,Puebla,Menos de 1 s.m.,2200394,1674824,525570,6524911,4341491,2183420,0,0,0
191,2005,Puebla,M s de 1 hasta 2 s.m.,17466,14434,3032,6524911,4341491,2183420,0,0,0
192,2005,Puebla,M s de 10 s.m.,1308002,555037,752965,6524911,4341491,2183420,0,0,0
193,2005,Puebla,M s de 2 hasta 3 s.m.,599997,589410,10587,6524911,4341491,2183420,0,0,0
194,2005,Puebla,M s de 3 hasta 5 s.m.,1692205,944360,747845,6524911,4341491,2183420,0,0,0
195,2005,Puebla,M s de 5 hasta 10 s.m.,268844,168411,100433,6524911,4341491,2183420,0,0,0
196,2005,Puebla,No especificado,62661,38440,24221,6524911,4341491,2183420,0,0,0
197,2005,Puebla,No recibe ingresos,329710,312732,16978,6524911,4341491,2183420,0,0,0
198,2005,Queretaro,1 salario m¡nimo,9672,9458,214,1747355,1197635,549720,0,0,0
199,2005,Queretaro,Menos de 1 s.m.,259386,218408,40978,1747355,1197635,549720,0,0,0
200,2005,Queretaro,M s de 1 hasta 2 s.m.,8287,7068,1219,1747355,1197635,549720,0,0,0
201,2005,Queretaro,M s de 10 s.m.,408759,174472,234287,1747355,1197635,549720,0,0,0
202,2005,Queretaro,M s de 2 hasta 3 s.m.,256319,248977,7342,1747355,1197635,549720,0,0,0
203,2005,Queretaro,M s de 3 hasta 5 s.m.,597796,369333,228463,1747355,1197635,549720,0,0,0
204,2005,Queretaro,M s de 5 hasta 10 s.m.,74779,54697,20082,1747355,1197635,549720,0,0,0
205,2005,Queretaro,No especificado,19751,12136,7615,1747355,1197635,549720,0,0,0
206,2005,Queretaro,No recibe ingresos,112606,103086,9520,1747355,1197635,549720,0,0,0
207,2005,Quintana Roo,1 salario m¡nimo,3753,3753,0,986163,705001,281162,0,0,0
208,2005,Quintana Roo,Menos de 1 s.m.,134851,123244,11607,986163,705001,281162,0,0,0
209,2005,Quintana Roo,M s de 1 hasta 2 s.m.,11201,9769,1432,986163,705001,281162,0,0,0
210,2005,Quintana Roo,M s de 10 s.m.,345282,160451,184831,986163,705001,281162,0,0,0
211,2005,Quintana Roo,M s de 2 hasta 3 s.m.,171227,165713,5514,986163,705001,281162,0,0,0
212,2005,Quintana Roo,M s de 3 hasta 5 s.m.,132509,81598,50911,986163,705001,281162,0,0,0
213,2005,Quintana Roo,M s de 5 hasta 10 s.m.,48199,37842,10357,986163,705001,281162,0,0,0
214,2005,Quintana Roo,No especificado,15700,9340,6360,986163,705001,281162,0,0,0
215,2005,Quintana Roo,No recibe ingresos,123441,113291,10150,986163,705001,281162,0,0,0
216,2005,San Luis Potos¡,1 salario m¡nimo,34512,33162,1350,2547912,1831825,716087,0,0,0
217,2005,San Luis Potos¡,Menos de 1 s.m.,785987,689877,96110,2547912,1831825,716087,0,0,0
218,2005,San Luis Potos¡,M s de 1 hasta 2 s.m.,12898,9196,3702,2547912,1831825,716087,0,0,0
219,2005,San Luis Potos¡,M s de 10 s.m.,566414,244462,321952,2547912,1831825,716087,0,0,0
220,2005,San Luis Potos¡,M s de 2 hasta 3 s.m.,274869,268356,6513,2547912,1831825,716087,0,0,0
221,2005,San Luis Potos¡,M s de 3 hasta 5 s.m.,653675,404669,249006,2547912,1831825,716087,0,0,0
222,2005,San Luis Potos¡,M s de 5 hasta 10 s.m.,96784,71714,25070,2547912,1831825,716087,0,0,0
223,2005,San Luis Potos¡,No especificado,15535,10031,5504,2547912,1831825,716087,0,0,0
224,2005,San Luis Potos¡,No recibe ingresos,107238,100358,6880,2547912,1831825,716087,0,0,0
225,2005,Sinaloa,1 salario m¡nimo,12681,12392,289,2973501,2088931,884570,0,0,0
226,2005,Sinaloa,Menos de 1 s.m.,987954,864323,123631,2973501,2088931,884570,0,0,0
227,2005,Sinaloa,M s de 1 hasta 2 s.m.,22205,19385,2820,2973501,2088931,884570,0,0,0
228,2005,Sinaloa,M s de 10 s.m.,835113,363074,472039,2973501,2088931,884570,0,0,0
229,2005,Sinaloa,M s de 2 hasta 3 s.m.,321081,309418,11663,2973501,2088931,884570,0,0,0
230,2005,Sinaloa,M s de 3 hasta 5 s.m.,498356,295652,202704,2973501,2088931,884570,0,0,0
231,2005,Sinaloa,M s de 5 hasta 10 s.m.,142187,101345,40842,2973501,2088931,884570,0,0,0
232,2005,Sinaloa,No especificado,26969,16846,10123,2973501,2088931,884570,0,0,0
233,2005,Sinaloa,No recibe ingresos,126955,106496,20459,2973501,2088931,884570,0,0,0
234,2005,Sonora,1 salario m¡nimo,27337,25991,1346,2440610,1708066,732544,0,0,0
235,2005,Sonora,Menos de 1 s.m.,419210,371584,47626,2440610,1708066,732544,0,0,0
236,2005,Sonora,M s de 1 hasta 2 s.m.,26823,24928,1895,2440610,1708066,732544,0,0,0
237,2005,Sonora,M s de 10 s.m.,635832,315294,320538,2440610,1708066,732544,0,0,0
238,2005,Sonora,M s de 2 hasta 3 s.m.,357542,347940,9602,2440610,1708066,732544,0,0,0
239,2005,Sonora,M s de 3 hasta 5 s.m.,686388,394660,291728,2440610,1708066,732544,0,0,0
240,2005,Sonora,M s de 5 hasta 10 s.m.,128732,96150,32582,2440610,1708066,732544,0,0,0
241,2005,Sonora,No especificado,33888,19314,14574,2440610,1708066,732544,0,0,0
242,2005,Sonora,No recibe ingresos,124858,112205,12653,2440610,1708066,732544,0,0,0
243,2005,Tabasco,1 salario m¡nimo,110445,91784,18661,1968675,1596889,371786,0,0,0
244,2005,Tabasco,Menos de 1 s.m.,722383,701937,20446,1968675,1596889,371786,0,0,0
245,2005,Tabasco,M s de 1 hasta 2 s.m.,13431,11684,1747,1968675,1596889,371786,0,0,0
246,2005,Tabasco,M s de 10 s.m.,476118,234345,241773,1968675,1596889,371786,0,0,0
247,2005,Tabasco,M s de 2 hasta 3 s.m.,235090,229383,5707,1968675,1596889,371786,0,0,0
248,2005,Tabasco,M s de 3 hasta 5 s.m.,191909,143371,48538,1968675,1596889,371786,0,0,0
249,2005,Tabasco,M s de 5 hasta 10 s.m.,82467,62844,19623,1968675,1596889,371786,0,0,0
250,2005,Tabasco,No especificado,27865,16887,10978,1968675,1596889,371786,0,0,0
251,2005,Tabasco,No recibe ingresos,108967,104654,4313,1968675,1596889,371786,0,0,0
252,2005,Tamaulipas,1 salario m¡nimo,34336,31198,3138,3242166,2272545,969621,0,0,0
253,2005,Tamaulipas,Menos de 1 s.m.,388204,367807,20397,3242166,2272545,969621,0,0,0
254,2005,Tamaulipas,M s de 1 hasta 2 s.m.,30992,19277,11715,3242166,2272545,969621,0,0,0
255,2005,Tamaulipas,M s de 10 s.m.,803550,422647,380903,3242166,2272545,969621,0,0,0
256,2005,Tamaulipas,M s de 2 hasta 3 s.m.,471593,453144,18449,3242166,2272545,969621,0,0,0
257,2005,Tamaulipas,M s de 3 hasta 5 s.m.,1048969,599927,449042,3242166,2272545,969621,0,0,0
258,2005,Tamaulipas,M s de 5 hasta 10 s.m.,168787,123610,45177,3242166,2272545,969621,0,0,0
259,2005,Tamaulipas,No especificado,35399,22951,12448,3242166,2272545,969621,0,0,0
260,2005,Tamaulipas,No recibe ingresos,260336,231984,28352,3242166,2272545,969621,0,0,0
261,2005,Tlaxcala,1 salario m¡nimo,1464,1319,145,1240135,871892,368243,0,0,0
262,2005,Tlaxcala,Menos de 1 s.m.,280358,253374,26984,1240135,871892,368243,0,0,0
263,2005,Tlaxcala,M s de 1 hasta 2 s.m.,2944,2651,293,1240135,871892,368243,0,0,0
264,2005,Tlaxcala,M s de 10 s.m.,271043,127848,143195,1240135,871892,368243,0,0,0
265,2005,Tlaxcala,M s de 2 hasta 3 s.m.,163380,162414,966,1240135,871892,368243,0,0,0
266,2005,Tlaxcala,M s de 3 hasta 5 s.m.,435095,247466,187629,1240135,871892,368243,0,0,0
267,2005,Tlaxcala,M s de 5 hasta 10 s.m.,24392,18851,5541,1240135,871892,368243,0,0,0
268,2005,Tlaxcala,No especificado,4780,2947,1833,1240135,871892,368243,0,0,0
269,2005,Tlaxcala,No recibe ingresos,56679,55022,1657,1240135,871892,368243,0,0,0
270,2005,Veracruz,1 salario m¡nimo,127531,99195,28336,7405879,5656657,1749222,0,0,0
