,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state_and_year,total_man_by_state_and_year,total_woman_by_state_and_year,man_percentage_by_state_and_level,woman_percentage_by_state_and_level,rate_level,percentage_by_level_and_total_people_by_state_and_year,mean_by_state_and_level
54,5,7,2,23154,17451,5703,7786083,5242139,2543944,75.369,24.631,1,0.297,0.094
55,5,7,1,70315,62886,7429,7786083,5242139,2543944,89.435,10.565,2,0.903,1.018
56,5,7,3,81373,74264,7109,7786083,5242139,2543944,91.264,8.736,1,1.045,0.813
57,5,7,7,2842201,1484778,1357423,7786083,5242139,2543944,52.24,47.76,1,36.504,37.917
58,5,7,4,840869,776214,64655,7786083,5242139,2543944,92.311,7.689,2,10.8,11.503
59,5,7,5,2075100,1342309,732791,7786083,5242139,2543944,64.686,35.314,1,26.651,25.005
60,5,7,6,549324,364989,184335,7786083,5242139,2543944,66.443,33.556999999999995,2,7.055,6.537999999999999
61,5,7,9,316327,206815,109512,7786083,5242139,2543944,65.38,34.62,0,4.063,4.6080000000000005
62,5,7,8,987420,912433,74987,7786083,5242139,2543944,92.406,7.5939999999999985,1,12.682,12.504000000000001
63,5,8,2,73789,72336,1453,2562377,1876279,686098,98.031,1.969,1,2.88,1.9569999999999999
64,5,8,1,209940,198458,11482,2562377,1876279,686098,94.531,5.4689999999999985,1,8.193,7.726
65,5,8,3,11951,9186,2765,2562377,1876279,686098,76.86399999999998,23.136,2,0.466,0.6990000000000001
66,5,8,7,622457,320003,302454,2562377,1876279,686098,51.41,48.59,1,24.291999999999998,24.808000000000003
67,5,8,4,335803,312270,23533,2562377,1876279,686098,92.992,7.007999999999999,1,13.105,12.539000000000001
68,5,8,5,980428,694003,286425,2562377,1876279,686098,70.786,29.214,2,38.262,40.069
69,5,8,6,123245,89479,33766,2562377,1876279,686098,72.60300000000002,27.397,2,4.81,4.703
70,5,8,9,22394,13363,9031,2562377,1876279,686098,59.672,40.328,0,0.8740000000000001,1.236
71,5,8,8,182370,167181,15189,2562377,1876279,686098,91.671,8.329,1,7.117000000000001,6.265
72,5,9,2,10688,10536,152,605384,422976,182408,98.578,1.422,1,1.765,1.4809999999999999
73,5,9,1,135707,117300,18407,605384,422976,182408,86.436,13.564,1,22.416999999999998,21.688000000000002
74,5,9,3,5016,3825,1191,605384,422976,182408,76.256,23.744,2,0.8290000000000001,1.1640000000000001
75,5,9,7,164486,64983,99503,605384,422976,182408,39.507,60.493,1,27.171,27.491
76,5,9,4,84446,82052,2394,605384,422976,182408,97.165,2.835,2,13.949000000000002,14.988
77,5,9,5,106815,64599,42216,605384,422976,182408,60.477,39.523,1,17.644000000000002,15.36
78,5,9,6,33846,24943,8903,605384,422976,182408,73.696,26.304,2,5.591,4.998
