Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Mexico,MEX,Population growth (annual %),SP.POP.GROW,1.415822666,1.456207605,1.486064475,1.495369111,1.476757594,1.438141533,1.394792539,1.355289252,1.315560984,1.277676363,1.241177725,1.203251329,1.163967779,1.126421149
Mexico,MEX,"Population, total",SP.POP.TOTL,106005203,107560153,109170502,110815271,112463887,114092963,115695473,117274155,118827161,120355128,121858258,123333376,124777324,126190788
Mexico,MEX,"Population, female",SP.POP.TOTL.FE.IN,54168354,54971857,55789025,56615016,57442952,58267178,59086047,59898831,60701894,61491298,62264084,63018018,63752822,64469966
Mexico,MEX,"Population, male",SP.POP.TOTL.MA.IN,51836849,52588296,53381477,54200255,55020935,55825785,56609426,57375324,58125267,58863830,59594174,60315358,61024502,61720822
